,Filename,AtomsObject,Eads,NPd,SiteType,RealSite,CN1,CN2,Z,Charge,Nsites,PdC1,PdC2,PdC3
10,pd13-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd13', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.29,13,top,top,3.0,0.0,4.1160198847129035,0.12,1,1.8828702606644443,3.230118915586815,4.257744761886427
11,pd13-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd13', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.38,13,hollow,hollow,4.69697408682215,0.674514273112591,3.969230858807077,0.09300000000000001,3,1.9939999025626616,2.0006346423952936,2.1315938510798844
12,pd14-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd14', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.19,14,bridge,bridge,6.003401751714378,1.501700875857189,5.863927134086026,-0.02,2,1.9764953447114826,1.9899883373770795,3.284108352065909
13,pd14-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd14', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.39,14,top,top,3.0,0.0,3.9512956796731333,0.18,1,1.8794637309873776,3.419796312046408,4.379126242428665
14,pd14-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd14', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.31,14,hollow,hollow,4.713630903783258,0.6785052060577403,4.003797061332182,0.12300000000000001,3,1.9856132882944457,1.9880215114972002,2.2025563103233785
15,pd15-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd15', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.4,15,bridge,bridge,5.993337303463388,1.496668651731694,5.710267458681985,-0.027000000000000003,2,1.967445590035618,1.9938384233118847,3.1702024153607566
16,pd15-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd15', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.36,15,bridge,bridge,3.501011584053012,0.5003371946843372,4.681243531042443,0.07,2,1.9540356981407643,1.9566730385367617,3.5701013011282523
17,pd15-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd15', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.25,15,hollow,hollow,4.692714296846667,0.673230564133749,3.8536665847708553,0.11599999999999999,3,1.9932688728174317,1.9945374112058207,2.1121181704575225
18,pd16-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd16', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.4,16,bridge,bridge,5.993809820144254,1.4969049100721268,5.50692367049988,-0.015,2,1.9640354915885052,1.988502412098985,2.9794239478136006
19,pd16-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd16', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.24,16,bridge,bridge,3.9970167470151985,0.498508373507599,4.6039849605766765,0.085,2,1.9564087036885414,1.968116555381593,3.7070275229009653
20,pd16-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd16', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.29,16,hollow,hollow,4.699626473319645,0.6753659833884096,3.974216728797366,0.12300000000000001,3,1.9887391226919946,1.9999955803234988,2.1373612109300537
21,pd17-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd17', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.44,17,bridge,bridge,5.999161616441137,1.9991616164411377,5.857830851284609,-0.01,2,1.9730058976028098,1.9763169449426383,3.2781623852895465
22,pd17-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd17', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.52,17,top,top,3.0,0.0,3.9300856401678073,0.18,1,1.8796577018271818,3.4745930558283797,4.378568023492151
23,pd17-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd17', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.33,17,hollow,hollow,4.694567110062348,0.6736690201745061,3.9303996091524422,0.12,3,2.0000919249187734,2.000759809066903,2.12817691658353
24,pd18-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd18', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.33,18,hollow,hollow,4.70875663361255,0.6776678500994151,3.919179522279426,0.113,3,1.9867515339578117,1.9985535395866694,2.1783727804039197
25,pd19-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd19', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.08,19,hollow,hollow,5.037950040976639,0.6793166803255466,3.9230972895960052,0.11599999999999999,3,1.9839791290487296,2.0011705259613994,2.201574154207003
26,pd2-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd2', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.67,2,top,top,1.0,0.0,4.450277076807109,0.31,1,1.846344599504595,3.4028067063897667,0.0
27,pd2-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd2', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.98,2,bridge,bridge,1.0,0.0,3.854116197345227,0.39,2,1.9822764383794804,1.983808209942654,0.0
28,pd20-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd20', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.0,20,hollow,hollow,5.034487777339559,0.6781625924465198,3.9342874390705225,0.113,3,1.9914443922217349,2.006739780662176,2.189550209393616
29,pd3-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd3', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.94,3,hollow,hollow,2.0,0.0,4.089030266811719,0.28,3,2.005427055922624,2.006454062341395,2.309617599018316
